Date : 2022-01-04 18:10:14
Directory : c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe
Total : 83 files,  18527 codes, 198 comments, 494 blanks, all 19219 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\profile_screen.dart                                  | Dart       |         93 |          0 |          7 |        100 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\signup_screen.dart                                   | Dart       |        307 |          0 |         14 |        321 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\splash_screen.dart                                   | Dart       |        132 |          0 |         15 |        147 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Utils\constants.dart                                         | Dart       |          4 |          0 |          2 |          6 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Utils\random_generator.dart                                  | Dart       |         14 |          0 |          4 |         18 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Utils\storage.dart                                           | Dart       |         22 |          0 |          8 |         30 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\ad_mob.dart                                          | Dart       |        104 |          0 |          9 |        113 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\already_have_account.dart                            | Dart       |         33 |          0 |          3 |         36 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\board.dart                                           | Dart       |        194 |          0 |         12 |        206 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\buttons.dart                                         | Dart       |        101 |          1 |         13 |        115 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\cards.dart                                           | Dart       |        182 |          0 |         15 |        197 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\dialogs.dart                                         | Dart       |         27 |          0 |          4 |         31 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\icons.dart                                           | Dart       |         34 |          0 |          6 |         40 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\inputs.dart                                          | Dart       |        110 |          0 |         11 |        121 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\lists.dart                                           | Dart       |         38 |          0 |          4 |         42 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\rounded_button.dart                                  | Dart       |         40 |          0 |          4 |         44 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\rounded_input_field.dart                             | Dart       |         35 |          0 |          3 |         38 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\rounded_password_field.dart                          | Dart       |         38 |          1 |          6 |         45 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\text_field_container.dart                            | Dart       |         23 |          0 |          3 |         26 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\texts.dart                                           | Dart       |         26 |          0 |          4 |         30 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\main.dart                                                    | Dart       |         60 |          1 |          4 |         65 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\out\linecounter.json                                             | JSON       |     14,095 |          0 |          0 |     14,095 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\pubspec.yaml                                                     | YAML       |         43 |          0 |          3 |         46 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\test\widget_test.dart                                            | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\web\index.html                                                   | HTML       |        106 |         18 |         10 |        134 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\web\manifest.json                                                | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\flutter\generated_plugin_registrant.cc                   | C++        |          6 |          4 |          5 |         15 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\flutter\generated_plugin_registrant.h                    | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\flutter_window.cpp                                | C++        |         45 |          4 |         13 |         62 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\flutter_window.h                                  | C++        |         20 |          5 |          9 |         34 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\main.cpp                                          | C++        |         30 |          4 |         10 |         44 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\resource.h                                        | C++        |          9 |          6 |          2 |         17 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\utils.cpp                                         | C++        |         53 |          2 |         10 |         65 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\utils.h                                           | C++        |          8 |          6 |          6 |         20 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\win32_window.cpp                                  | C++        |        183 |         15 |         48 |        246 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\win32_window.h                                    | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                    |            |     18,527 |        198 |        494 |     19,219 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
